"","Annelida","Arthropoda","Brachiopoda","Bryozoa","Calcispongea","Chaetognatha","Chlorophyta","Chordata","Ciliophora","Cnidaria","Cyanobacteria","Echinodermata","Foraminifera","Hemichordata","Hyolitha","Lophotrochozoa","Mollusca","Phoronida","Porifera","Priapulida","Radiolaria","Rhodophyta","Sarcomastigophora"
"Eru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ed1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ed2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ed3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ed4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ed5",6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0
"Fo1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Fo2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fo3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0
"Cm21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cm22",0,0,13,0,0,0,0,0,0,1,7,0,0,0,44,0,30,0,43,0,0,0,0
"Cm23",0,7,30,0,0,0,0,0,0,3,9,0,0,0,25,0,8,0,233,0,0,0,0
"Cm31",0,6,52,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,636,0,0,0,0
"Cm32",0,53,1,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,708,0,0,0,0
"Cm33",0,82,59,0,0,0,0,0,0,5,12,1,0,0,3,0,26,0,423,0,0,2,0
"Cm41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
"Cm42",0,70,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,45,0,0,0,0
"Wu1",0,15,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
"Wu2",0,8,1,0,0,0,1,0,0,0,1,1,0,0,3,0,2,0,2,2,0,0,0
"Dr1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Dr2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gu1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gu2",0,19,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"Pb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jn1",0,104,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Jn2",0,20,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"CmX1",0,241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0
"CmX2",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
"Tr1a",0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Tr1b",0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
"Tr2",0,2,2,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Tr3",0,38,2,0,0,0,1,0,0,0,1,3,0,0,0,0,9,0,13,0,0,0,0
"Fl1",0,193,6,1,0,0,3,1,0,0,0,1,0,0,0,0,13,0,19,0,0,0,0
"Fl2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fl3",0,0,34,0,0,0,0,90,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0
"Dp1",0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dp2",0,16,17,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0
"Dp3",0,0,26,0,0,0,0,58,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
